,rankingPosition,name,webUrl,rating
36,1,The People - Paris Bercy,https://www.tripadvisor.com/Hotel_Review-g187147-d17764614-Reviews-The_People_Paris_Bercy-Paris_Ile_de_France.html,4.5
37,126,Novotel Paris Les Halles,https://www.tripadvisor.com/Hotel_Review-g187147-d197424-Reviews-Novotel_Paris_Les_Halles-Paris_Ile_de_France.html,4.5
38,503,Intercontinental Paris Le Grand,https://www.tripadvisor.com/Hotel_Review-g187147-d207742-Reviews-Intercontinental_Paris_Le_Grand-Paris_Ile_de_France.html,4.5
39,837,Citadines Les Halles Paris,https://www.tripadvisor.com/Hotel_Review-g187147-d197426-Reviews-Citadines_Les_Halles_Paris-Paris_Ile_de_France.html,4.0
40,25,Hotel Joke - Astotel,https://www.tripadvisor.com/Hotel_Review-g187147-d287896-Reviews-Hotel_Joke_Astotel-Paris_Ile_de_France.html,5.0
41,101,Hotel Balmoral,https://www.tripadvisor.com/Hotel_Review-g187147-d233573-Reviews-Hotel_Balmoral-Paris_Ile_de_France.html,4.5
42,308,Piapia Hotel,https://www.tripadvisor.com/Hotel_Review-g187147-d9453876-Reviews-Piapia_Hotel-Paris_Ile_de_France.html,4.5
43,507,Pullman Paris Montparnasse Hotel,https://www.tripadvisor.com/Hotel_Review-g187147-d228799-Reviews-Pullman_Paris_Montparnasse_Hotel-Paris_Ile_de_France.html,4.5
44,359,25hours Hotel Terminus Nord,https://www.tripadvisor.com/Hotel_Review-g187147-d653824-Reviews-25hours_Hotel_Terminus_Nord-Paris_Ile_de_France.html,4.5
45,133,Grand Hotel Dore,https://www.tripadvisor.com/Hotel_Review-g187147-d603072-Reviews-Grand_Hotel_Dore-Paris_Ile_de_France.html,4.5
46,276,Hotel Turenne Le Marais,https://www.tripadvisor.com/Hotel_Review-g187147-d636096-Reviews-Hotel_Turenne_Le_Marais-Paris_Ile_de_France.html,4.5
47,789,Pavillon Monceau Hotel,https://www.tripadvisor.com/Hotel_Review-g187147-d207787-Reviews-Pavillon_Monceau_Hotel-Paris_Ile_de_France.html,4.0
48,53,Hotel 34B - Astotel,https://www.tripadvisor.com/Hotel_Review-g187147-d9566832-Reviews-Hotel_34B_Astotel-Paris_Ile_de_France.html,5.0
