,rankingPosition,name,webUrl,rating
40,684,Le Bistrot d'Henri,https://www.tripadvisor.com/Restaurant_Review-g187147-d719036-Reviews-Le_Bistrot_d_Henri-Paris_Ile_de_France.html,4.5
41,984,Brasserie du Louvre - Bocuse,https://www.tripadvisor.com/Restaurant_Review-g187147-d1405627-Reviews-Brasserie_du_Louvre_Bocuse-Paris_Ile_de_France.html,4.0
42,519,Brasserie Bellanger,https://www.tripadvisor.com/Restaurant_Review-g187147-d17320162-Reviews-Brasserie_Bellanger-Paris_Ile_de_France.html,4.5
43,2442,Ambassade d’Auvergne,https://www.tripadvisor.com/Restaurant_Review-g187147-d695267-Reviews-Ambassade_d_Auvergne-Paris_Ile_de_France.html,4.0
44,576,Pedzouille La Grange,https://www.tripadvisor.com/Restaurant_Review-g187147-d23423811-Reviews-Pedzouille_La_Grange-Paris_Ile_de_France.html,4.5
45,331,La Jacobine,https://www.tripadvisor.com/Restaurant_Review-g187147-d742400-Reviews-La_Jacobine-Paris_Ile_de_France.html,4.5
46,613,Huitrerie Regis,https://www.tripadvisor.com/Restaurant_Review-g187147-d1821374-Reviews-Huitrerie_Regis-Paris_Ile_de_France.html,4.5
47,302,Les Cuivres,https://www.tripadvisor.com/Restaurant_Review-g187147-d15121018-Reviews-Les_Cuivres-Paris_Ile_de_France.html,4.5
48,315,Under The Sea Restaurant - Ephemera,https://www.tripadvisor.com/Restaurant_Review-g187147-d23908565-Reviews-Under_The_Sea_Restaurant_Ephemera-Paris_Ile_de_France.html,4.5
49,923,Chez Georges,https://www.tripadvisor.com/Restaurant_Review-g187147-d714962-Reviews-Chez_Georges-Paris_Ile_de_France.html,4.0
50,2616,Derriere,https://www.tripadvisor.com/Restaurant_Review-g187147-d1866269-Reviews-Derriere-Paris_Ile_de_France.html,3.5
51,389,Le Colimacon,https://www.tripadvisor.com/Restaurant_Review-g187147-d1035630-Reviews-Le_Colimacon-Paris_Ile_de_France.html,4.5
52,1764,Le Train Bleu,https://www.tripadvisor.com/Restaurant_Review-g187147-d1109767-Reviews-Le_Train_Bleu-Paris_Ile_de_France.html,4.0
53,939,Lou Cantou,https://www.tripadvisor.com/Restaurant_Review-g187147-d2428775-Reviews-Lou_Cantou-Paris_Ile_de_France.html,4.5
54,198,TRADI,https://www.tripadvisor.com/Restaurant_Review-g187147-d8662639-Reviews-TRADI-Paris_Ile_de_France.html,4.5
55,103,Le Florimond,https://www.tripadvisor.com/Restaurant_Review-g187147-d719117-Reviews-Le_Florimond-Paris_Ile_de_France.html,4.5
56,2748,Le Baratin,https://www.tripadvisor.com/Restaurant_Review-g187147-d718799-Reviews-Le_Baratin-Paris_Ile_de_France.html,4.0
57,375,Le P'tit Troquet,https://www.tripadvisor.com/Restaurant_Review-g187147-d719177-Reviews-Le_P_tit_Troquet-Paris_Ile_de_France.html,4.5
58,1632,Chez Gladines,https://www.tripadvisor.com/Restaurant_Review-g187147-d5883980-Reviews-Chez_Gladines-Paris_Ile_de_France.html,4.0
59,917,Brasserie Les Deux Palais,https://www.tripadvisor.com/Restaurant_Review-g187147-d1755379-Reviews-Brasserie_Les_Deux_Palais-Paris_Ile_de_France.html,4.0
60,260,BMK Paris-Bamako,https://www.tripadvisor.com/Restaurant_Review-g187147-d12728905-Reviews-BMK_Paris_Bamako-Paris_Ile_de_France.html,4.5
